요구사항ID,구분,카테고리,요구사항명,상세설명,우선순위,요청자,비고
REQ-001,기능,웹-대시보드,실시간 계량 현황 표시,"계량대별 현재 상태(대기/계량중/완료)를 실시간으로 표시하고, 금일 처리 건수, 대기 차량 수 등 핵심 지표를 대시보드에 표시",상,이영희,
REQ-002,기능,웹-대시보드,일간 통계 차트,"일간 계량 건수, 시간대별 분포, 평균 처리 시간 등을 차트로 시각화",상,이영희,
REQ-003,기능,웹-대시보드,주간/월간 리포트,"주간 및 월간 단위 통계 리포트 생성 및 엑셀/PDF 다운로드 기능",중,이영희,
REQ-004,기능,웹-차량관리,차량 정보 등록/수정/삭제,"차량번호, 차종, 공차중량, 소속회사 등 차량 정보 CRUD 기능",상,이영희,
REQ-005,기능,웹-차량관리,운전기사 정보 관리,"운전기사 이름, 연락처, 소속, 담당 차량 등 정보 관리",상,이영희,
REQ-006,기능,웹-계량조회,계량 이력 조회,"기간별, 차량별, 운전기사별 계량 이력 조회 기능",상,이영희,
REQ-007,기능,웹-계량조회,엑셀 다운로드,"조회된 계량 데이터를 엑셀 파일로 다운로드",중,이영희,
REQ-008,기능,웹-알림,이상치 알림,"설정한 임계값 초과시 관리자에게 알림 발송 (예: 총중량 초과)",중,이영희,
REQ-009,기능,모바일-순번,대기 순번 확인,"현재 자신의 대기 순번 및 예상 대기 시간 표시",상,정수진,운전기사 최우선 요청사항
REQ-010,기능,모바일-순번,순번 푸시 알림,"자신의 차례가 3순번 전일 때 푸시 알림 발송",상,정수진,
REQ-011,기능,모바일-계량,금일 계량 결과 조회,"오늘 진행한 계량 결과(총중량/공차/순중량) 확인",상,정수진,
REQ-012,기능,모바일-계량,계량 이력 조회,"과거 계량 이력 조회 (최근 30일)",중,정수진,
REQ-013,기능,모바일-전표,전자 전표 확인,"계량 완료 후 전자 전표를 앱에서 확인",상,정수진,
REQ-014,기능,모바일-전표,전표 공유,"전자 전표를 카카오톡/문자 등으로 공유",중,정수진,
REQ-015,기능,연동,인디케이터 연동,"기존 3대 인디케이터(저울)에서 RS-232로 계량 데이터 수신",상,박민수,프로토콜 문서 확보 필요
REQ-016,기능,연동,ERP 연동,"일 마감시 계량 데이터를 ERP 시스템으로 자동 전송",중,박민수,API 스펙 협의 필요
REQ-017,기능,연동,전광판 연동,"대기 순번을 기존 전광판에 표시",상,박민수,
REQ-018,비기능,성능,동시 접속자 처리,"웹 시스템 동시 접속 50명 이상 지원",상,최동훈,
REQ-019,비기능,성능,앱 응답속도,"모바일 앱 화면 로딩 3초 이내",상,최동훈,
REQ-020,비기능,보안,사용자 인증,"웹/앱 로그인 인증 및 권한 관리",상,최동훈,
REQ-021,비기능,보안,데이터 암호화,"개인정보 및 민감 데이터 암호화 저장",상,최동훈,
REQ-022,비기능,가용성,시스템 가용성,"연간 99.5% 이상 가용성 보장",중,박민수,
REQ-023,비기능,UI/UX,반응형 웹,"PC/태블릿에서 최적화된 화면 제공",중,한지민,
REQ-024,비기능,UI/UX,다크모드,"관제실 야간 근무를 위한 다크모드 지원",하,한지민,
